tmp_lot_id,lot_turns,EUV_3300,EUV_3400,year,jpn_ytd,tmp_lot_id,,,,,,,
AX204453,2,0,0.64,2019-11-01,FY57,AX013925,,,,,,,
AX204454,2,0,0,2019-11-01,FY57,AX014309,,,,,,,
AX203622,0,2.86,0,2019-11-01,FY57,AX013926,,,,,,,
AX203623,2,0,0.84,2019-11-01,FY57,AX100511,,,,,,,
AX203272,0,9.53,0,2019-11-01,FY57,AX100512,,,,,,,
AX203271,7,0,0.56,2019-11-01,FY57,AX101500,,,,,,,
AX203270,7,0,0.7,2019-11-01,FY57,AX102644,,,,,,,
AX203273,1,0,0.44,2019-12-01,FY57,AX101574,,,,,,,
AX204455,7,2.53,0,2019-12-01,FY57,AX104240,,,,,,,
AX207262,8,2.46,0,2019-12-01,FY57,AX105281,,,,,,,
AX207159,2,0,0,2019-12-01,FY57,AX106474,,,,,,,
AX206427,4,0.08,0,2019-12-01,FY57,AX105628,,,,,,,
AX209407,3,0,0.94,2019-12-01,FY57,AX108117,,,,,,,
AX209406,3,1.06,0,2019-12-01,FY57,AX108118,,,,,,,
AX209405,3,0,0,2019-12-01,FY57,AX111293,,,,,,,
AX209408,1,0,0.7,2019-12-01,FY57,AX111745,,,,,,,
AX210944,1,0,0.44,2019-12-01,FY57,AX112778,,,,,,,
AX210945,5,0,0,2019-12-01,FY57,AX112539,,,,,,,
AX210947,1,0,0.48,2019-12-01,FY57,AX114611,,,,,,,
AX210946,7,0,0,2019-12-01,FY57,AX114610,,,,,,,
AX213404,8,1.51,0,2019-12-01,FY57,AX113116,,,,,,,
AX213402,0,0.56,0,2019-12-01,FY57,AX115665,,,,,,,
AX213401,7,2.54,0,2019-12-01,FY57,AX121352,,,,,,,
AX213400,0,0,4.69,2019-12-01,FY57,AX122566,,,,,,,
AX217222,5,0,0,2019-12-01,FY57,AX122738,,,,,,,
